Benchmark Summary Report
======================
Generated on: Fri Mar 21 10:46:58 CET 2025

File Size | Window Size | Index Type | Tput (ops/s) | Avg Hops | Scan us      | IO us      | IO bytes  
----------|-------------|------------|--------------|----------|--------------|------------|-----------
100GB     | 100         | Header     | 4884.91      | 2.00     | 155238       | 607675750  | 117213930160
100GB     | 100         | Uniform    | 3220.46      | 3.90     | 3145         | 920701851  | 49581780560
100GB     | 1600        | Header     | 4888.78      | 2.00     | 140433       | 607196168  | 117211038440
100GB     | 1600        | Uniform    | 7122.92      | 1.05     | 160991       | 416201892  | 202695953360
100GB     | 200         | Header     | 4886.97      | 2.00     | 148204       | 607432503  | 117210594440
100GB     | 200         | Uniform    | 4189.13      | 2.54     | 13563        | 708477206  | 60994435280
100GB     | 400         | Header     | 4881.87      | 2.00     | 160409       | 608045422  | 117209815400
100GB     | 400         | Uniform    | 5464.25      | 1.73     | 46242        | 542801257  | 83481464440
100GB     | 800         | Header     | 4883.93      | 2.00     | 158429       | 607669243  | 117213425880
100GB     | 800         | Uniform    | 6421.54      | 1.30     | 112560       | 461834312  | 125351959640
10GB      | 100         | Header     | 4934.62      | 2.00     | 150008       | 601455507  | 117211350560
10GB      | 100         | Uniform    | 3310.22      | 3.84     | 3626         | 895493717  | 48473809440
10GB      | 1600        | Header     | 5638.84      | 2.00     | 135974       | 525591667  | 117213936360
10GB      | 1600        | Uniform    | 8654.44      | 1.04     | 143019       | 341833837  | 201296197480
10GB      | 200         | Header     | 5626.92      | 2.00     | 140862       | 526707713  | 117208169880
10GB      | 200         | Uniform    | 4739.95      | 2.49     | 14756        | 625387087  | 59897886880
10GB      | 400         | Header     | 5634.21      | 2.00     | 148069       | 526008088  | 117211073600
10GB      | 400         | Uniform    | 6411.87      | 1.71     | 45765        | 461811753  | 82318455200
10GB      | 800         | Header     | 5620.95      | 2.00     | 160109       | 527199852  | 117208675760
10GB      | 800         | Uniform    | 7890.84      | 1.29     | 105272       | 374825680  | 123920836680
1TB       | 100         | Header     | 4852.00      | 2.00     | 133446       | 611734191  | 117209825400
1TB       | 100         | Uniform    | 3215.96      | 3.91     | 4382         | 921910469  | 49913146440
1TB       | 1600        | Header     | 4851.02      | 2.00     | 95239        | 612119822  | 117216460480
1TB       | 1600        | Uniform    | 7155.48      | 1.05     | 112745       | 414376371  | 203171581040
1TB       | 200         | Header     | 4778.39      | 2.00     | 146015       | 621368380  | 117213343640
1TB       | 200         | Uniform    | 4164.95      | 2.55     | 14504        | 712548197  | 61354763160
1TB       | 400         | Header     | 4847.46      | 2.00     | 133760       | 612457450  | 117211185840
1TB       | 400         | Uniform    | 5425.95      | 1.74     | 44614        | 546659887  | 83797292480
1TB       | 800         | Header     | 4841.49      | 2.00     | 140022       | 613136285  | 117213141440
1TB       | 800         | Uniform    | 6408.41      | 1.31     | 98095        | 462711880  | 125765444960
