Benchmark Summary Report
======================
Generated on: 2025-03-28 15:53:38

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|----------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 16       | 95322.68     | 2.00     | 86200        | 7925.53    | 187.89    
1TB       | 100    | Uniform    | Yes     | 16       | 94587.57     | 1.97     | 77474        | 7961.87    | 378.08    
1TB       | 100    | Header     | Yes     | 1        | 6319.84      | 2.00     | 8906         | 469.97     | 11.74     
1TB       | 100    | Uniform    | Yes     | 1        | 6432.28      | 1.97     | 2689         | 460.10     | 23.63     
1TB       | 100    | Header     | Yes     | 2        | 12446.09     | 2.00     | 8145         | 951.26     | 23.48     
1TB       | 100    | Uniform    | Yes     | 2        | 12645.27     | 1.97     | 8457         | 933.30     | 47.27     
1TB       | 100    | Header     | Yes     | 4        | 24671.88     | 2.00     | 16574        | 1914.52    | 46.97     
1TB       | 100    | Uniform    | Yes     | 4        | 25101.31     | 1.97     | 9621         | 1876.63    | 94.49     
1TB       | 100    | Header     | Yes     | 8        | 48956.22     | 2.00     | 32619        | 3859.78    | 93.94     
1TB       | 100    | Uniform    | Yes     | 8        | 49054.79     | 1.97     | 25089        | 3826.18    | 189.03    
1TB       | 100    | Header     | No      | 16       | 177900.42    | 2.00     | 9267         | 4216.63    | 187.89    
1TB       | 100    | Uniform    | No      | 16       | 111304.82    | 1.97     | 19719        | 6765.54    | 378.05    
1TB       | 100    | Header     | No      | 1        | 10677.02     | 2.00     | 508          | 300.80     | 11.74     
1TB       | 100    | Uniform    | No      | 1        | 8636.4       | 1.97     | 768          | 342.61     | 23.62     
1TB       | 100    | Header     | No      | 2        | 23864.96     | 2.00     | 895          | 494.58     | 23.48     
1TB       | 100    | Uniform    | No      | 2        | 14985.79     | 1.97     | 2001         | 729.44     | 47.27     
1TB       | 100    | Header     | No      | 4        | 48016.72     | 2.00     | 1734         | 980.46     | 46.97     
1TB       | 100    | Uniform    | No      | 4        | 30900.79     | 1.97     | 5191         | 1525.50    | 94.50     
