Benchmark Summary Report
======================
Generated on: 2025-03-28 16:42:41

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|----------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 16       | 76601.73     | 2.00     | 2573202      | 9888.87    | 1875.39   
1TB       | 100    | Uniform    | Yes     | 16       | 44870.45     | 3.91     | 103477       | 16702.57   | 798.29    
1TB       | 100    | Header     | Yes     | 1        | 5887.01      | 2.00     | 153456       | 503.15     | 117.21    
1TB       | 100    | Uniform    | Yes     | 1        | 3078.49      | 3.91     | 1594         | 963.53     | 49.88     
1TB       | 100    | Header     | Yes     | 2        | 11482.75     | 2.00     | 272379       | 1030.78    | 234.42    
1TB       | 100    | Uniform    | Yes     | 2        | 6052.29      | 3.91     | 8183         | 1954.47    | 99.74     
1TB       | 100    | Header     | Yes     | 4        | 22272.65     | 2.00     | 619513       | 2121.14    | 468.84    
1TB       | 100    | Uniform    | Yes     | 4        | 12004.83     | 3.91     | 12061        | 3937.72    | 199.52    
1TB       | 100    | Header     | Yes     | 8        | 42487.42     | 2.00     | 1241278      | 4456.41    | 937.69    
1TB       | 100    | Uniform    | Yes     | 8        | 23397.57     | 3.91     | 39429        | 8030.66    | 399.20    
1TB       | 100    | Header     | No      | 16       | 67296.66     | 2.00     | 23857        | 11286.96   | 1875.40   
1TB       | 100    | Uniform    | No      | 16       | 62210.38     | 3.91     | 26882        | 12006.21   | 798.36    
1TB       | 100    | Header     | No      | 1        | 9693.24      | 2.00     | 1273         | 310.02     | 117.21    
1TB       | 100    | Uniform    | No      | 1        | 4509.77      | 3.91     | 1248         | 648.88     | 49.89     
1TB       | 100    | Header     | No      | 2        | 18841.01     | 2.00     | 3560         | 623.49     | 234.43    
1TB       | 100    | Uniform    | No      | 2        | 8573.13      | 3.91     | 3853         | 1380.54    | 99.81     
1TB       | 100    | Header     | No      | 4        | 35019.38     | 2.00     | 7531         | 1344.02    | 468.84    
1TB       | 100    | Uniform    | No      | 4        | 17053.85     | 3.91     | 7966         | 2775.39    | 199.60    
1TB       | 100    | Header     | No      | 8        | 61211.99     | 2.00     | 14169        | 3104.60    | 937.69    
1TB       | 100    | Uniform    | No      | 8        | 33237.16     | 3.91     | 14194        | 5661.31    | 399.15    
1TB       | 1600   | Header     | Yes     | 16       | 76583.42     | 2.00     | 2605309      | 9889.29    | 1875.38   
1TB       | 1600   | Uniform    | Yes     | 16       | 91066.46     | 1.06     | 2887056      | 8308.28    | 3251.30   
1TB       | 1600   | Header     | Yes     | 1        | 5876.7       | 2.00     | 151230       | 504.07     | 117.21    
1TB       | 1600   | Uniform    | Yes     | 1        | 9543.76      | 1.06     | 169879       | 309.28     | 203.22    
1TB       | 1600   | Header     | Yes     | 2        | 11465.46     | 2.00     | 289590       | 1031.64    | 234.43    
1TB       | 1600   | Uniform    | Yes     | 2        | 18296.86     | 1.06     | 296694       | 641.96     | 406.42    
1TB       | 1600   | Header     | Yes     | 4        | 22290.05     | 2.00     | 653711       | 2119.41    | 468.84    
1TB       | 1600   | Uniform    | Yes     | 4        | 34391.95     | 1.06     | 657349       | 1368.64    | 812.83    
1TB       | 1600   | Header     | Yes     | 8        | 42382.39     | 2.00     | 1285829      | 4463.20    | 937.69    
1TB       | 1600   | Uniform    | Yes     | 8        | 60186.69     | 1.06     | 1389326      | 3128.01    | 1625.64   
1TB       | 1600   | Header     | No      | 16       | 68368.75     | 2.00     | 24753        | 11224.75   | 1875.38   
1TB       | 1600   | Uniform    | No      | 16       | 51122.88     | 1.06     | 16759        | 15011.04   | 3251.26   
1TB       | 1600   | Header     | No      | 1        | 9317.22      | 2.00     | 1035         | 323.74     | 117.21    
1TB       | 1600   | Uniform    | No      | 1        | 8042.32      | 1.06     | 2066         | 371.40     | 203.23    
1TB       | 1600   | Header     | No      | 2        | 17798.52     | 2.00     | 2783         | 661.44     | 234.42    
1TB       | 1600   | Uniform    | No      | 2        | 14814.12     | 1.06     | 2811         | 799.71     | 406.37    
1TB       | 1600   | Header     | No      | 4        | 34014.59     | 2.00     | 6929         | 1387.73    | 468.85    
1TB       | 1600   | Uniform    | No      | 4        | 27974.83     | 1.06     | 5152         | 1688.63    | 812.78    
