Benchmark Summary Report
======================
Generated on: 2025-03-25 16:09:13

File Size | Window | Index Type | DIO     | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 6391.18      | 2.00     | 1036         | 463.46     | 1.20      
1TB       | 100    | Uniform    | Yes     | 10307.89     | 1.21     | 1743         | 286.24     | 14.54     
1TB       | 100    | Header     | No      | 6734.93      | 2.00     | 445          | 426.05     | 1.20      
1TB       | 100    | Uniform    | No      | 12922.03     | 1.21     | 256          | 229.91     | 14.54     
1TB       | 1600   | Header     | Yes     | 6420.06      | 2.00     | 802          | 461.83     | 1.20      
1TB       | 1600   | Uniform    | Yes     | 10159.91     | 1.00     | 13646        | 290.49     | 184.31    
1TB       | 1600   | Header     | No      | 9501.32      | 2.00     | 369          | 324.38     | 1.20      
1TB       | 1600   | Uniform    | No      | 8966.52      | 1.00     | 2052         | 328.56     | 184.32    
1TB       | 200    | Header     | Yes     | 6408.6       | 2.00     | 915          | 462.71     | 1.20      
1TB       | 200    | Uniform    | Yes     | 11928.57     | 1.02     | 7793         | 246.94     | 24.40     
1TB       | 200    | Header     | No      | 8230.54      | 2.00     | 387          | 351.31     | 1.20      
1TB       | 200    | Uniform    | No      | 14067.78     | 1.02     | 347          | 211.40     | 24.41     
1TB       | 3200   | Header     | Yes     | 6414.2       | 2.00     | 964          | 462.30     | 1.20      
1TB       | 3200   | Uniform    | Yes     | 7521.71      | 1.00     | 75435        | 383.32     | 353.27    
1TB       | 3200   | Header     | No      | 7862.09      | 2.00     | 430          | 387.80     | 1.20      
1TB       | 3200   | Uniform    | No      | 7272.38      | 1.00     | 2072         | 408.56     | 353.30    
1TB       | 400    | Header     | Yes     | 6411.89      | 2.00     | 1006         | 462.53     | 1.20      
1TB       | 400    | Uniform    | Yes     | 11841.57     | 1.00     | 13870        | 248.70     | 47.52     
1TB       | 400    | Header     | No      | 9516.93      | 2.00     | 363          | 305.91     | 1.20      
1TB       | 400    | Uniform    | No      | 12691.55     | 1.00     | 876          | 235.57     | 47.52     
1TB       | 800    | Header     | Yes     | 6417.93      | 2.00     | 756          | 462.15     | 1.20      
1TB       | 800    | Uniform    | Yes     | 11184.47     | 1.00     | 18017        | 263.57     | 94.08     
1TB       | 800    | Header     | No      | 10446.09     | 2.00     | 311          | 283.56     | 1.20      
1TB       | 800    | Uniform    | No      | 10581.43     | 1.00     | 1603         | 280.13     | 94.08     
