Benchmark Summary Report
======================
Generated on: 2025-03-25 16:07:24

File Size | Window | Index Type | DIO     | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 5888.69      | 2.00     | 153250       | 502.89     | 117.21    
1TB       | 100    | Uniform    | Yes     | 3078.15      | 3.91     | 2779         | 963.41     | 49.97     
1TB       | 100    | Header     | No      | 9449.26      | 2.00     | 1156         | 307.20     | 117.21    
1TB       | 100    | Uniform    | No      | 4646.59      | 3.91     | 1170         | 648.74     | 49.96     
1TB       | 1600   | Header     | Yes     | 5893.1       | 2.00     | 173874       | 502.75     | 117.21    
1TB       | 1600   | Uniform    | Yes     | 9577.0       | 1.06     | 178667       | 308.27     | 203.28    
1TB       | 1600   | Header     | No      | 9840.81      | 2.00     | 1410         | 301.77     | 117.21    
1TB       | 1600   | Uniform    | No      | 8173.11      | 1.06     | 1372         | 362.85     | 203.27    
1TB       | 200    | Header     | Yes     | 5895.72      | 2.00     | 170566       | 502.37     | 117.21    
1TB       | 200    | Uniform    | Yes     | 4808.61      | 2.56     | 27991        | 615.58     | 61.44     
1TB       | 200    | Header     | No      | 10123.66     | 2.00     | 1446         | 292.77     | 117.21    
1TB       | 200    | Uniform    | No      | 5849.58      | 2.56     | 1479         | 506.60     | 61.41     
1TB       | 3200   | Header     | Yes     | 5890.16      | 2.00     | 178753       | 502.89     | 117.21    
1TB       | 3200   | Uniform    | Yes     | 6947.64      | 1.00     | 188754       | 410.03     | 383.88    
1TB       | 3200   | Header     | No      | 9734.42      | 2.00     | 1388         | 304.86     | 117.21    
1TB       | 3200   | Uniform    | No      | 6719.34      | 1.00     | 1490         | 442.71     | 383.89    
1TB       | 400    | Header     | Yes     | 5887.18      | 2.00     | 165715       | 503.11     | 117.21    
1TB       | 400    | Uniform    | Yes     | 6814.62      | 1.75     | 53097        | 433.71     | 83.81     
1TB       | 400    | Header     | No      | 10059.66     | 2.00     | 1700         | 294.41     | 117.21    
1TB       | 400    | Uniform    | No      | 7085.93      | 1.75     | 1840         | 418.76     | 83.81     
1TB       | 800    | Header     | Yes     | 5891.15      | 2.00     | 164032       | 502.97     | 117.21    
1TB       | 800    | Uniform    | Yes     | 8534.36      | 1.31     | 102178       | 345.97     | 125.78    
1TB       | 800    | Header     | No      | 9982.07      | 2.00     | 1418         | 297.29     | 117.21    
1TB       | 800    | Uniform    | No      | 8052.05      | 1.31     | 1396         | 368.23     | 125.77    
